"Redirection","Redirection"
"Merchant Page","Merchant Page"
"AUTHORIZATION","AUTHORIZATION"
"PURCHASE","PURCHASE"
"SHA-1","SHA-1"
"SHA-256","SHA-256"
"SHA-512","SHA-512"
"Invalid response signature.","Invalid response signature."
"Redirecting, please wait...","Redirecting, please wait..."
"Your payment is accepted.","Your payment is accepted."
"Error: cannot create an invoice without products !","Error: cannot create an invoice without products !"
"Your payment is authorized.","Your payment is authorized."
"Unknown response status.","Unknown response status."
"Response Unknown","Response Unknown"
"Payfort has declined the payment.","Payfort has declined the payment."
"FORT Payment Method","FORT Payment Method"
"Enabled","Enabled"
"Crdit Card Title","Crdit Card Title"
"Sadad Title","Sadad Title"
"Naps Title","Naps Title"
"Language","Language"
"Merchant Identifier","Merchant Identifier"
"Access Code","Access Code"
"Hash algorithm","Hash algorithm"
"Command","Command"
"Request SHA phrase","Request SHA phrase"
"Response SHA phrase","Response SHA phrase"
"Enable Credit \ Debit Card","Enable Credit \ Debit Card"
"Integration Type","Integration Type"
"Enable SADAD","Enable SADAD"
"Enable NAPS","Enable NAPS"
"Sandbox mode","Sandbox mode"
"More info","More info"
"Host to Host URL","Host to Host URL"
"You have canceled the payment, please try again.", "You have canceled the payment, please try again."
"Payfort has accepted the payment.","Payfort has accepted the payment."
"Invalid response parameters.","Invalid response parameters."
